"FFMC" "temp" "RH" "wind" "area"
"1" 0.937 0.259 0.32 0.031 0.000170974093727409
"2" 0.915 0.08 0.86 0.022 0.000119459668128576
"3" 0.929 0.221 0.34 0.018 0.000137201710240785
"4" 0.926 0.138 0.5 0.027 0.000121491804570534
"5" 0.935 0.229 0.39 0.049 0.000146585850067866
"6" 0.935 0.272 0.28 0.013 0.000162251608172828
"7" 0.846 0.051 0.61 0.049 9.35063017497861e-05
"8" 0.915 0.171 0.43 0.054 0.000125726644929632
"9" 0.951 0.194 0.71 0.076 0.00013208561508015
"10" 0.918 0.212 0.32 0.027 0.000120414296511383
"11" 0.859 0.127 0.52 0.063 8.04606134742898e-05
"12" 0.952 0.203 0.41 0.04 0.000127012577464691
"13" 0.901 0.147 0.66 0.027 0.000113276610012893
"14" 0.943 0.259 0.24 0.04 0.000158887458430831
"15" 0.916 0.187 0.53 0.018 0.000113143279024433
"16" 0.854 0.046 0.21 0.085 9.35620112118545e-05
"17" 0.922 0.235 0.27 0.04 0.000135021749651506
"18" 0.931 0.268 0.25 0.031 0.000177528422636808
"19" 0.925 0.196 0.48 0.027 0.000121970575344196
"20" 0.914 0.163 0.6 0.054 0.000124951184414986
"21" 0.912 0.117 0.33 0.04 0.000111053173311201
"22" 0.504 0.122 0.78 0.063 0.000114726411291099
"23" 0.937 0.221 0.54 0.076 0.000129326571006299
"24" 0.846 0.082 0.53 0.094 8.29414629304318e-05
"25" 0.961 0.207 0.69 0.049 0.000146068735087472
"26" 0.948 0.166 0.54 0.054 0.000133865331958299
"27" 0.915 0.122 0.66 0.049 0.000141092095163754
"28" 0.937 0.269 0.31 0.036 0.000181935489653073
"29" 0.943 0.177 0.37 0.036 0.000127728950055266
"30" 0.893 0.114 0.99 0.018 0.000104957074083696
"31" 0.949 0.234 0.4 0.058 0.00014377487651204
"32" 0.935 0.172 0.43 0.031 0.000140707367425877
"33" 0.905 0.118 0.88 0.049 0.000132127318133758
"34" 0.916 0.214 0.42 0.031 0.000117775325687008
"35" 0.897 0.228 0.39 0.036 0.000120501263134957
"36" 0.854 0.046 0.21 0.085 9.35620112118545e-05
"37" 0.897 0.178 0.64 0.013 0.000113652855718433
"38" 0.916 0.246 0.44 0.04 0.000149459277767671
"39" 0.914 0.198 0.39 0.054 0.000124951184414986
"40" 0.69 0.174 0.24 0.054 8.42020376458842e-05
"41" 0.844 0.243 0.36 0.031 0.000130735306988793
"42" 0.921 0.211 0.54 0.022 0.000134891277522822
"43" 0.909 0.156 0.66 0.031 0.000135807642828432
"44" 0.905 0.206 0.55 0.054 0.000125626491919189
"45" 0.924 0.192 0.24 0.049 0.000128137714247673
"46" 0.929 0.208 0.17 0.013 0.000134105872751343
"47" 0.925 0.178 0.51 0.072 0.00012740228141455
"48" 0.882 0.152 0.64 0.031 0.000117617989983874
"49" 0.919 0.214 0.38 0.027 0.000117014563642444
